Startup Name,Industry Vertical,SubVertical,City  Location,Investors Name,InvestmentnType,Amount in USD,year_funding,month_funding
My Healthcare,eCommerce,Software Solutions,Bangalore,Sixth Sense Ventures,Series A,3000000,2019,4
KrazyBee,eCommerce,Lending Platform,Bangalore,"BAC Acquisitions, Unifi AIF, BRD Securities, Northern R Capital",Debt Funding,14342000,2019,4
Shuttl,Transportation,Bus Aggregation,Gurugram,New Atlantic Ventures,Others,5000000,2019,4
Increff,Technology,Supply-chain technology solutions,Bangalore,"021 Capita, Binny Bansal",Series A,3000000,2019,4
Zilingo,eCommerce,Fashion & Apparel,Mumbai,"Sequoia Capital and Temasek Holdings, EDBI, Burda Principal Investments, and Sofina",Series D,226000000,2019,4
NanoClean Global,Nanotechnology,Anti-Pollution,Delhi,"LetsVenture, PitchRight Venture, 91SpringBoard, AL Nour International Holdings and Mark V Investments",Series A,600000,2019,4
OyoRooms,Hospitality,Budget Rooms,Gurugram,DiDi Chuxing,Private Equity,100000000,2019,4
CarDekho,Automobile,Online Marketplace,Jaipur,"Sequoia India, Hillhouse Capital, Alphabet\\xe2\\x80\\x99s growth investment arm Capital G and Axis Bank",Series C,110000000,2019,4
Vyome Therapeutics Inc.,Healthcare,Specialty pharmaceutical,Delhi,"Iron Pillar, Perceptive Advisors, Romulus Capital and Kalaari Capital",Series D,22000000,2019,4
Samunnati Financial Intermediation & Services Pvt. Ltd,Finance,Non-banking financial company,Chennai,"MASSIF, a Dutch government fund",Debt Funding,5000000,2019,4
Manch,Social Media,Hyperlocal Content,Delhi,Stellaris Venture Partners,Seed/Angel Funding,700000,2019,4
UrbanClap Technologies Pvt. Ltd,Technology,Home services marketplace,Delhi,Steadview Capital and Vy Capital.,Series D,50000000,2019,4
Guiddoo,Travel Tech,Platform for travel agents,Mumbai,Individual Investors,Pre-Series A,800000,2019,4
Career Anna,Education,"Video-based certification, trainings",Gurugram,Individual Investors,Pre-Series A,572000,2019,4
ShopKirana,B2B,eCommerce,Indore,"Info Edge, AET Fund, Akatsuki and Incubate Fund from Japan and Better Capital AngelList syndicate.",Seed/Angel Funding,2000000,2019,2
BuildSupply,eCommerce,"Real Estate, ERP",Gurugram,"Venture Highway, GREE Ventures, Space Matrix, Individual Investors",Series A,3500000,2019,2
GoDesi,Food & Beverage,Regional Flavours,Bangalore,Lead Angels Network,Seed/Angel Funding,138995,2018,2
Veritas Finance Ltd.,Finance,MSME Finance,Chennai,"Norwest Venture Partners, CDC Group, the UK\\xe2\\x80\\x99s Development Finance Institution and P Surendra Pai",Series D,27799000,2019,1
Meesho,eCommerce,Social Commerce,Bangalore,"Shunwei Capital, DST Partners and RPS Ventures",Series C,50000000,2019,1
Mobile Premier League,Gaming,Mobile e-Sports,Bangalore,Undisclosed Investor,Series A,500000,2019,1
A&R Bon Vivants,Food & Beverage,Meat Retail Chain,Jaipur,"RB Investments, Singapore",Private Equity,1000000,2018,12
Blackbuck,Food & Beverage,POS For Online Ordering,Bangalore,Tiger Global,Series A,1000000,2018,12
MilkBAsket,Food & Beverage,Micro-delivery grocery service,Delhi,Mayfield Fund,Series B,1300000,2018,12
DriveU,Transportation,On-Demand Drivers,Bangalore,Stevens Creek Ventures,Others,1000000,2018,12
CleanseCar,Others,Car Wash,Bangalore,Venture Catalysts,Seed/Angel Funding,500000,2018,12
Automation Anywhere,Automation,Robotics,Mumbai,SoftBank Vision Fund,Series B,300000000,2018,12
HealthifyMe,Healthcare,Wellness Coach,Bangalore,"Sistema Asia Fund, VC Samsung NEXT, Chiratae Ventures, Inventus Capital, Blume Ventures and Innoven Capital.",Others,6000000,2018,12
Genius Corner,Education,Personalized Learning,Noida,Individual investors,Seed/Angel Funding,278000,2018,11
Aavishkaar-Intellecap Group,Investment,SME Funding,Mumbai,Teachers Insurance and Annuity Association (TIAA),Private Equity,31000000,2018,11
Signzy,Finance,Digital Onboarding Solution,Bangalore,"Stellaris Venture Partners and Kalaari Capital, Rajan Anandan from Google, Dilip Khandwelwal from SAP Labs India, and Amrish Rau from PayU India",Series A,3400000,2018,11
Engineer.ai,Others,AI Platform,Gurugram,"Lakestar and Jungle Ventures, Softbank\\xe2\\x80\\x99s DeepCore.",Series A,29500000,2018,11
InCred Finance,Finance,SME Lending,Mumbai,"Paragon Partners, Individual Investors",Private Equity,42000000,2018,11
Roposo,Social Media,Video Sharing,Delhi,Bertelsmann India Investments,Series B,1700000,2018,11
Origo Commodities India Pvt. Ltd,Logistics,Supply Chain,Hyderabad,"Cooperative Oikocredit, Caspian and Hivos-Triodos Fund",Seed/Angel Funding,11000000,2018,11
Grover Zampa,Food & Beverage,Wine,Mumbai,Ravi Viswanathan,Private Equity,8200000,2018,11
Droom,Automobile,New and Used Cars Platform,Gurugram,ZigExN,Others,3000000,2018,11
Innov8,Real Estate,Co-Working,Delhi,Credence Family Office,Pre-Series A,4000000,2018,11
Blackbuck,Logistics,Largest Trucking Platform,Bangalore,Sequoia Capital India,Private Equity,14680000,2018,11
LetsTransport,Logistics,Book Trucks Online,Bangalore,Fosun International,Series C,12000000,2018,11
Netmeds,Consumer Internet,Online Pharmacy Chain,Chennai,"Sistema Asia Fund, Sistema JSFC and Tanncam Investment",Private Equity,35000000,2018,11
Daily hunt,Consumer Internet,News and ebooks Mobile App\\xc2\\xa0,Bangalore,Falcon Edge,Private Equity,6390000,2018,11
Nykaa,Consumer Internet,Online Marketplace For Multi-brand Beauty Cosmetic and Wellness Products,Mumbai,Lighthouse,Private Equity,157200000,2018,11
Dream11,Consumer Internet,Online Gaming Platform,Mumbai,"Tencent, Kalaari Capital and Private equity firm Multiples Alternate Asset Management",Private Equity,100000000,2018,11
MamaEarth,Healthcare,Online Marketplace For Mother and Babycare Products,Gurugram,Stellaris Ventures & Others,Private Equity,4000000,2018,11
Pharmeasy,Consumer Internet,Online Marketplace For Pharmaceutical Products,Mumbai,InnoVen Capital,Debt Funding,5500000,2018,10
Upwards,Finance,Online Micro Lending Marketplace,Mumbai,"Shunwei Capital,Quotient, Mayfield & Others",Private Equity,5000000,2018,10
Kissht,Finance,Online lending Platform,Mumbai,"Vertex Ventures Southeast Asia (SEA) and India and Sistema Asia Fund, Fosun RZ Capital, Ventureast, and Endiya Partners.\\n\\n",Private Equity,30000000,2018,10
dishq,Food & Beverage,Personalisation Technology Firm Focusing On The Food And Beverage Industry,Bangalore,"Farm To Fork, Arts Alliance, The Syndicate Fund, Sven Hensen, Zeroth and Artesian Venture Partners",Seed/Angel Funding,400000,2018,10
Samosa Labs,Consumer Internet,Social Media and Chat Entertainment Platform,Hyderabad,Xiaomi and Sequoia Capital India,Private Equity,7000000,2018,10
ZiffyHomes,Consumer Internet,Online Home Rental Marketplace,Gurugram,Y Combinator,Private Equity,120000,2018,10
ShopX,Consumer Internet,Assisted E-commerce Platform,Bangalore,Fung Strategic Holdings,Private Equity,35000000,2018,9
MakeMyTrip,Consumer Internet,Online Travel Aggregator,Gurugram,MakeMyTrip Limited,Private Equity,10000000,2018,9
Hansel io,Consumer Internet,Real-time Mobile App Management,Bangalore,Vertex Ventures,Seed/Angel Funding,4000000,2018,9
quizizz,Education,e-learning Platform,Bangalore,"Nexus Venture Partners, Prime Venture Partners and Others",Seed/Angel Funding,3000000,2018,9
Inthree,Consumer Internet,Rural E-commerce Platform,Chennai,"Ventureast, Orios Venture Partners and the IAN Fund",Seed/Angel Funding,4000000,2018,9
Observe AI,Technology,AI Based Solutions Platform,Bangalore,"Nexus Venture Partners, MGV, Liquid 2 Ventures, Hack VC, Emergent Ventures and Y Combinator",Private Equity,8000000,2018,9
EazyDiner,Consumer Internet,Online Restaurant Table Reservation Platform,Gurugram,Denlow Investment Trust and Beenext,Private Equity,5850000,2018,9
RawPressery,Consumer Internet,Online Organic Juice Delivery Service,Mumbai,Alteria Capital,Debt Funding,4800000,2018,9
Pi Ventures,Technology,Applied Artificial Intelligence and IoT focused\\xc2\\xa0Platform,Bangalore,CDC Group plc\\xc2\\xa0,Private Equity,6000000,2018,9
Revv,Consumer Internet,Online Indian Car Rental Platform,Gurugram,"Hyundai, Edelweiss and Beenext, Dream Incubator, Sunjay Kapoor and Telama Investment",Private Equity,14270000,2018,9
ZestMoney,Consumer Internet,Online Lending Platform,Bangalore,"Xiaomi,PayU, Ribbit Capital and Omidyar Network",Private Equity,13400000,2018,8
MyUpchar,Healthcare,Local Language Health Content App,Delhi,"Nexus Venture Partners, Omidyar Network and Shunwei Capital",Private Equity,5000000,2018,8
Narvar,Technology,Post-Purchase Customer Engagement Platform\\xc2\\xa0,Bangalore,Accel (formerly known as Accel Partners),Private Equity,3000000,2018,8
Anchanto,Technology,E-commerce Fulfilment Platform,Pune,MDI Ventures & Telkom Indonesia,Private Equity,4000000,2018,8
Loan Tap,Consumer Internet,Online Lending Platform For Salaried Professionals,Mumbai,"Shunwei Capital, Tuscan Ventures, Ashish Goenka, VC firms India Quotient and Kae Capital",Private Equity,6250000,2018,8
PolicyBazaar,Consumer Internet,Online Insurance Selling Platform,Gurugram,Info Edge (India) Ltd and Temasek,Private Equity,27700000,2018,8
zippserv,Consumer Internet,Online Platform For Risk-Assessment Services For Real Estate Investments,Bangalore,Info Edge (India) Ltd,Seed/Angel Funding,440000,2018,8
Groww,Consumer Internet,Online Platform That Sells Direct Plans Of Mutual Funds,Bangalore,"Insignia Ventures Partners, Lightbridge Partners & Kairos",Seed/Angel Funding,1100000,2018,8
Avenue Growth,Consumer Internet,Online Platform That Connects Brands With Freelance Sales Professionals,Gurugram,"Avtar Monga, chief operating office at IDFC Bank, Aditya Malik & Others",Seed/Angel Funding,437000,2018,8
Kinara Capital,Finance,Lending Platform For Micro and Small Enterprises,Bangalore,ResponsAbility,Private Equity,5000000,2018,8
Shop 101,Consumer Internet,Mobile Storefront And Commerce Platform For Sellers,Mumbai,"Stellaris Venture Partners, Vy Capital, Raghunandan G, and Ramakant Sharma",Private Equity,5000000,2018,8
Sambandh,Consumer Internet,Online Micro Lending Platform,Rourkela,Base of Pyramid Asia (BOPA) Pte Ltd,Private Equity,2500000,2018,8
5th Vital,Healthcare,Home diagnostics services provider,Bangalore,Brand Capital and Others,Seed/Angel Funding,500000,2018,8
Ofbusiness,Finance,Online Lending Platform For SME,Gurugram,"Creation Investments, Falcon Edge, Matrix Partners India and Zodius Capital",Private Equity,29000000,2018,8
Cars24,Consumer Internet,Online Used Car Marketplace,Gurugram,"Kingsway FCI Fund, KCK Global & Others",Private Equity,49700000,2018,8
The Ken,Consumer Internet,Subscription-Only News Website,Bangalore,Omidyar Network & Others,Seed/Angel Funding,1500000,2018,8
Book My Show,Consumer Internet,Online Ticketing Platform,Mumbai,"TPG Growth, The Rise Fund & Others",Private Equity,100000000,2018,8
PaySense,Consumer Internet,Online Consumer Lending Platform,Mumbai,PayU & Others,Private Equity,18000000,2018,8
VTION,Technology,Media Analytics,Gurugram,"AngelList, Rahul Khanna, Rajeev Arora and Ram Ramsundar.",Seed/Angel Funding,280000,2018,8
Log9 Materials,Technology,Nanotechnology Company Specializing In Graphene,Bangalore,"Metaform Ventures, Hemant Luthra, Micro venture capital firm GEMS Partners and Others",Seed/Angel Funding,436000,2018,8
Black Soil,Finance,Non-Banking Financial Company,Mumbai,"Allcargo Logistics, Navneet Education and Mahavir Agency",Private Equity,17000000,2018,7
Trell,Consumer Internet,Mobile-First Video Blogging App,Bangalore,"BeeNext , WEH Ventures and Sprout Ventures",Seed/Angel Funding,1250000,2018,7
iqlect,Technology,Data Analytics Firm,Bangalore,Ventureast and Exfinity,Seed/Angel Funding,2500000,2018,7
Entropik,Technology,Software-As-A-Service Platform,Bangalore,"Bharat Innovation, IDFC-Parampara Capital, Arthavida Ventures, Jitendra Gupta & Others",Seed/Angel Funding,1100000,2018,7
TheCapitalNet,Finance,Unified Global Investments Ecosystem,Hyderabad,Lindwall Family Investments LLC (LFI),Private Equity,500000,2018,7
Shuttl,Consumer Internet,Bus Aggregation Platform,Gurugram,Amazon Alexa Fund & Dentsu Ventures,Private Equity,11000000,2018,7
Cure Fit,Consumer Internet,Health and fitness Platform,Bangalore,"IDG Ventures, Accel Partners, Kalaari Capital and Others",Private Equity,120000000,2018,7
Healthsignz,Healthcare,Health and Well being Platform,Hyderabad,Kantilal Patel,Seed/Angel Funding,5000000,2018,7
CoinTribe,Finance,Credit-Based Lending Marketplace For Small And Medium Enterprises,Gurugram,"Sabre Partners, Puneet Dalmia & Others",Private Equity,10000000,2018,7
Digiconectt,Technology,Sales Analytics and Enablement Platform,Bangalore,Aspire Logistics LLC,Seed/Angel Funding,125000,2018,7
Annapurna Finance,Finance,Non-Banking Financial Company,Bhubneswar,Oman India Joint Investment Fund (OIJIF),Private Equity,23000000,2018,7
Meesho,Consumer Internet,Online Marketplace For Resellers,Bangalore,"Sequoia Capital India, SAIF Partners, Y Combinator and Venture Highway",Private Equity,11500000,2018,7
AyeFinance,Finance,Online Lending Platform,Gurugram,"CapitalG, SAIF Partners and LGT Impact Ventures",Private Equity,21500000,2018,7
Alpha Capital,Finance,Supplychain Finance,Mumbai,Alpha Capital,Private Equity,14800000,2018,7
eshakti,eCommerce,Fashion e-tailer,Chennai,Paragon Partners,Private Equity,10100000,2018,7
Daily Ninja,Consumer Internet,Hyperlocal Delivery Platform,Bangalore,Saama Capital and Sequoia Capital,Seed/Angel Funding,3000000,2018,7
NirogStreet,Healthcare,An Online Platform That Connects Ayurveda Doctors With Patients,Gurugram,"Spiral Ventures, Subho Ray and Samir Kumar",Seed/Angel Funding,300000,2018,7
HomeLane,Consumer Internet,Online Home Furnishing Solutions,Bangalore,Brand Capital,Seed/Angel Funding,3450000,2018,7
Tynor Othontics,Healthcare,Prosthetics Manufacturers,Chandigarh,Lighthouse Funds & Thuasne Participations,Private Equity,21000000,2018,7
Elucidata,Technology,Data Analytics (SaaS),Delhi,Hyperplane Venture Capital and several angel investors,Seed/Angel Funding,1700000,2018,7
RentSher,Consumer Internet,Online Rental Marketplace,Bangalore,"Shorooq Investments, LetsVenture & Others",Seed/Angel Funding,1100000,2018,7
Drip capital,Finance,Trade Finance Firm,Mumbai,"Accel Partners, Sequoia India, Y Combinator and others.",Private Equity,15000000,2018,7
WickedRide,Consumer Internet,Online Motorbike And Scooter Rental Platforms,Bangalore,"Sequoia Capital, Accel Partners & Raghunandan Gangappa",Private Equity,9100000,2018,7
PolicyBazaar,Consumer Internet,Online Insurance Selling Platform,Gurugram,SoftBank Vision Fund & Info Edge (India) Ltd,Private Equity,200000000,2018,7
HipBar,Consumer Internet,Digital Payment Platform For Beverage Delivery,Bangalore,Diageo India,Private Equity,4000000,2018,7
Sqqrl,Finance,App-based investment platform,Gurugram,Equanimity Venture Fund,Seed/Angel Funding,1000000,2018,7
Sigtuple,Healthcare,Data Driven Intelligence Solutions Platform,Bangalore,"Accel Partners, IDG Venture, Endiya Partners, pi Ventures, VH Capital, Axilor Ventures and Binny Bansal",Private Equity,19000000,2018,7
Wow Express,Technology,E-commerce Logistics Platform,Mumbai,Undisclosed Existing Investors As Well As The Tamarind Family Trust,Private Equity,4500000,2018,7
Front Desk AI,Technology,An AI Platform Offering Automated Customer Service Software,Bangalore,Speciale Invest & Others,Seed/Angel Funding,1100000,2018,7
Edureka,Education,Online Education Platform,Bangalore,Leo Capital,Seed/Angel Funding,2000000,2018,7
OpenTap,Finance,Online Lending Platform,Chennai,Unknown High Net-Worth Individuals,Seed/Angel Funding,450000,2018,7
Bizongo,Consumer Internet,Aggregator For Packaging Material,Mumbai,"B Capital, International Finance Corporation (IFC), Accel Partners and IDG Ventures",Private Equity,22000000,2018,6
Disprz,Technology,SaaS,Chennai,"IL&FS Private Equity, Kae Capital & Others",Seed/Angel Funding,2500000,2018,6
mfine,Healthcare,Doctor-Consultation App,Bangalore,"Prime Venture Partners, Stellaris Venture Partners and Mayur Abhaya Srisrimal",Private Equity,4200000,2018,6
Rocketium,Technology,Online Video Creation Platform,Bangalore,Blume ventures,Seed/Angel Funding,300000,2018,6
MilkBasket,Technology,Micro-Delivery Grocery Startup,Gurugram,"Kalaari Capital, Unilever Ventures and Blume Ventures",Private Equity,7000000,2018,6
Cashkumar,Consumer Internet,P2P Lending Platform,Bangalore,LetsVenture,Seed/Angel Funding,735000,2018,6
Edyoo,eCommerce,Products For Shoolgoing Children,Bangalore,RS Shanbag,Seed/Angel Funding,735000,2018,6
Aashiyaan,Finance,Housing Finance For Low-Income Families,Kolkata,"Insistor, Oikocredit",Seed/Angel Funding,2000000,2018,6
Smartivity,Education,Designer Of Toys and Learning Projects For Kids,Delhi,"Ashish Kacholi, S Chand Group",Seed/Angel Funding,2000000,2018,6
Bonphulapl,Clean-tech,Oxygen Optimiser Manufacturer,Delhi,Atul Gupta and Saurabh Rastogi,Seed/Angel Funding,293000,2018,6
HWell24,Healthcare,Home Healthcare Aggregator,Mumbai,"Prashant Mehta, Mitali Pawar, Nikhil G and Bhavesh P, R Ranganathan, ONCOTRUST and Medintel Services Pvt. Ltd",Seed/Angel Funding,200000,2018,6
Toffee,Consumer Internet,Online Insurance Platform,Gurugram,"Kalaari Capital, Omidyar Network and Accion Venture Labs",Seed/Angel Funding,1500000,2018,6
Tonetag,Technology,Mobile Payments Technology Platform,Bangalore,Amazon Inc. and Mastercard,Private Equity,8000000,2018,6
Stellaps,Technology,Iot Application Platform In Agriculture,Bangalore,"IndusAge Partners, Bill & Melinda Gates Foundation, Qualcomm Venture, ABB Technology Ventures, Omnivore, Blume Ventures, Venture Highway and BEENEXT",Private Equity,14000000,2018,6
Fitternity,Consumer Internet,Online Fitness Discovey Platform,Mumbai,"Exfinity Venture, Saha fund Partners, Arihant Patni of Patni Family Office, Anjali Bansal, Shardul Amarchand Mangaldas, Satish Khanna and Taparia family office.",Private Equity,2000000,2018,6
Synctag,Technology,Social Media Anlaytics Platform,Coimbatore,Subhkam Ventures and Mohit Khadaria,Seed/Angel Funding,307600,2018,6
